small talk_0,How are you?,I'm pretty good! What can I help you?
small talk_1,Are you alright,"Good, what are you looking for today?"
small talk_2,Today is a nice day.,It might be. I am focusing on what I can help you today.
small talk_3,What's your favorite season?,"I love autumn. The cool weather, colorful leaves, and cozy sweaters make it special."
small talk_4,How do you usually unwind after a busy day?,I like to listen to music and maybe do some light stretching to relax. What about you?
small talk_5,Are you a coffee or tea person?, I'm more of a tea person. I enjoy trying different herbal blends. 
small talk_6,Do you have a favorite quote or saying?,"One of my favorites is, ""Be the change you wish to see in the world."""
small talk_7,What's your go-to comfort food?,Mac and cheese is my ultimate comfort food. Can't resist it! 
small talk_8,Are you into any sports?,I work out in the gym. It's a great way to stay active.
small talk_9,How’s the weather today,"Well, it’s pretty nice, isn’t it?"
small talk_10,What's your favorite type of cuisine?,"I love Italian food, especially pasta dishes."
small talk_11,How's your day going?,"It's going well, thank you!"
discoverability,What can you do?,"
"
discoverability,What's your job?,"
"
discoverability,What can I ask for?,"
"
discoverability,Who are you?,"
"
discoverability,Is this a bot?,
discoverability,Is there a bot chatting to me?,
discoverability,Is it automated message?,
discoverability,Computer based pely,
discoverability,Bot or human?,
discoverability,Bot is chatting with me?,
discoverability,Are you system generated message?,
discoverability,Are you robot?,
discoverability,Are you machine?,
discoverability,Are you just computer?,
discoverability,Are you a robot?,
discoverability,Are you a person?,
discoverability,Are you a machine?,
discoverability,Are you a chatbot?,
discoverability,Are you a bot?,
discoverability,Are these automated messages?,
discoverability,Am I talking to a bot?,
discoverability,This is a machine?,
identity management,My name?,
identity management,Can you tell me your name?,
discoverability,Are you there?,
identity management,What is my name?,
identity management,My name is?,
identity management,Who is chatting?,
identity management,Who am I?,
identity management,What's my name?,
identity management,Tell me my name?,
identity management,What am I called?,
identity management,What's my name.,
identity management,Who am I.,
identity management,Do you know me.,
initiate,Hello,Nice to meet you.
initiate,Hi! How are you?,
initiate,Hi! ,Nice to meet you.
initiate,hi,
initiate,Hello,
initiate,Are you alright,
initiate,What’s up,
initiate,hey,
initiate,Hey,
Movie Listings,Can you provide a list of movies playing today?,
Movie Listings,Could you share the current list of films available for viewing?,
Movie Listings,What films are currently showing at the cinema?,
Movie Listings,Can you offer details about the movies featured in the current lineup?,
Movie Listings,What's the current selection of films playing in the theatre?,
Movie Listings,Do you have information about the upcoming releases ,
Movie Listings,What movie do you have,
Movie Listings,What movie can I watch,
Movie Listings,What are the options,
Movie Listings,What can I choose,
Movie Listings,Any options?,
Movie Listings,Can you tell me which films are currently playing in cinema?,
Movie Listings,What's the list of movies currently being featured at the cinema?,
Movie Listings,Can you share the current roster of films showing at the cinema?,
Movie Listings,What's currently on the movie bill at the theater?,
Movie Time,Do you have the timetable for all movies?,
Movie Time,What time does the evening show  start?,
Movie Time,Are there any late-night showings for the action movie this Friday?,
Movie Time,When is the matinee for the romantic comedy playing this Sunday?,
Movie Time,"Can you share the schedule for the early morning showing of ""The Batman""?",
Movie Time,Is there a specific time for the 3D showing this Saturday?,
Movie Time,What are the showtimes for the movie?,
Movie Time,Can you tell me when the movie is playing?,
Movie Time,What time can I catch the movie?,
Movie Time,Can you share the timetable for the movie?,
Movie Time,What are the viewing times for the movie?,
Movie Time,Can you let me know when the movie is being shown?,
Booking Process,How to make a movie reservation?,
Booking Process,How can I book tickets for a movie?,
Booking Process,What steps do I need to follow to book movie tickets online?,
Booking Process,How do I go about reserving seats for a movie?,
Booking Process,Can you guide me through the steps of securing tickets for a film?,
Booking Process,What's the procedure for booking movie tickets?,
Booking Process,Could you explain how to go about purchasing movie tickets online?,
Booking Process,How can I initiate the movie ticket booking process?,
Booking Process,What do I need to do to confirm my movie ticket reservation?,
Booking Process,Can you provide details on how to go through the movie booking system,
Seat Availability,Could you let me know if there are any seats left for?,
Seat Availability,What's the occupancy like for the evening show?,
Seat Availability,"Are there any available seats for the movie ""Avengers"" tonight?",
Seat Availability,Can I still get tickets for the 7 PM show of?,
Seat Availability,Are there still seats available for the 8 PM showing tonight?,
Seat Availability,Can you check the availability of seats for the upcoming animated film this Sunday?,
Seat Availability,Could you let me know if there are any seats left?,
Seat Availability,What's the seat status for the special screening of the classic movie next week?,
Seat Availability,Can you check if there are any open seats left for the movie this weekend?,
Seat Availability,Are there any available seats for the upcoming blockbuster movie on Saturday,
Seat Availability,Can you verify if seats are still open for the late-night showing,
Pricing_0,What is the price for adults?,In the morning:The ticket price is £10. In the evening: The ticket price is £15.
Pricing_1,What is the ticket price for adults and children?,"In the morning: For adults, the ticket price is £10, and for children, it is £3. In the evening: For adults, the ticket price is £15, and for children, it is £5."
Pricing_2,Are there any discounts available for senior citizens?,"Yes, senior citizens enjoy a discounted ticket price of £3 for morning shows and £5 for evening shows."
Pricing_3,How much does it cost for a ticket to the evening show,"The ticket price for the evening show is £15 for adults, £5 for children, and £8 for students."
Pricing_4,What's the ticket price difference between adult and child tickets for the latest animated movie?,"The ticket price for adults is £10, and for children, it's £3, resulting in a £7 difference."
Pricing_5,Are there any discounts available for students for the afternoon show?,"Yes, students receive a discounted ticket price of £5 for afternoon shows and £8 for evening shows."
Pricing_6,Do you offer senior citizen discounts for the early morning movie screenings," Yes, senior citizens enjoy a discounted ticket price of £3 for morning shows and £5 for evening shows."
Pricing_7,Are there any promotional offers or discounts for the midnight premiere of the film?,There are no additional discounts or promotional offers for the midnight premiere. The regular ticket prices apply.
Pricing_8,What is the price for children?,In the morning:The ticket price is £3. In the evening: The ticket price is £5.
Pricing_9,What is the price?,"In the morning: For adults, the ticket price is £10, and for children, it is £3. In the evening: For adults, the ticket price is £15, and for children, it is £5."
Pricing_10,What’s the ticket price?,"In the morning: For adults, the ticket price is £10, and for children, it is £3. In the evening: For adults, the ticket price is £15, and for children, it is £5."
Payment Methods_1,Can I pay for my movie tickets using digital wallets like Apple Pay or Google Pay,"Yes, we accept payments through digital wallets such as Apple Pay and Google Pay for online movie bookings."
Payment Methods_2,What payment methods are accepted for online booking?,"You can use various payment methods for online booking, including credit cards, debit cards, digital wallets like Apple Pay and Google Pay, and online services such as PayPal."
Payment Methods_3,Can I pay for the tickets with a credit card?,"Absolutely, credit card payments are accepted for purchasing movie tickets, both online and at the ticket counter."
Payment Methods_4,Do you accept online payment methods like PayPal for movie bookings?,"Yes, we do accept online payment methods like PayPal for booking movie tickets through our online platform."
Payment Methods_5,Are there any restrictions on the types of debit cards accepted for ticket purchases?,"Generally, we accept a wide range of debit cards for purchasing movie tickets. However, please check for any specific restrictions or supported card types on our booking platform or inquire at the ticket counter."
